Transaction date,Transaction,Name,Memo,Amount
3/7/2022,CREDIT,Credit Card Rewards Redemption,,6.76
3/3/2022,DEBIT,DELICES DU PARVIS QUEBEC QC,Rewards earned: 0.21 ~ Category: Restaurant,-10.64
3/2/2022,DEBIT,HARVEY'S #2276E 418-683-7313 QC,Rewards earned: 0.19 ~ Category: Restaurant,-9.65
2/28/2022,DEBIT,IGA #8234 QUEBEC QC,Rewards earned: 0.10 ~ Category: Groceries,-5.08
2/26/2022,DEBIT,MAXI #8676 QUEBEC QC,Rewards earned: 0.96 ~ Category: Groceries,-47.87
2/24/2022,DEBIT,LE BUREAU DE POSTE QUEBEC QC,Rewards earned: 0.11 ~ Category: Restaurant,-5.61
2/24/2022,DEBIT,LE BUREAU DE POSTE QUEBEC QC,Rewards earned: 0.36 ~ Category: Restaurant,-17.78
2/19/2022,DEBIT,CHOCOLATO CAPITALE QUEBEC QC,Rewards earned: 0.03 ~ Category: Other,-5.46
2/16/2022,CREDIT,PAYMENT - THANK YOU,,345.48
2/14/2022,DEBIT,IGA #8234 QUEBEC QC,Rewards earned: 0.16 ~ Category: Groceries,-7.98
2/13/2022,DEBIT,MAXI #8676 QUEBEC QC,Rewards earned: 2.15 ~ Category: Groceries,-107.53
2/13/2022,DEBIT,FRITE ALORS! - LIMOILO QUEBEC QC,Rewards earned: 0.32 ~ Category: Restaurant,-16.09
2/11/2022,DEBIT,RESTAURANT SHIRAZ INC QUEBEC QC,Rewards earned: 2.17 ~ Category: Restaurant,-108.42
