Transaction date,Transaction,Name,Memo,Amount
4/7/2022,CREDIT,Credit Card Rewards Redemption,,10.39
4/3/2022,DEBIT,FROMAGERIE VICTORIA QUEBEC QC,Rewards earned: 0.42 ~ Category: Restaurant,-21.23
4/2/2022,DEBIT,MAXI #8676 QUEBEC QC,Rewards earned: 1.38 ~ Category: Groceries,-69.13
4/1/2022,DEBIT,DELICE RESTO LOUNGE LEVIS QC,Rewards earned: 1.07 ~ Category: Restaurant,-53.56
3/28/2022,DEBIT,IGA #8234 QUEBEC QC,Rewards earned: 0.19 ~ Category: Groceries,-9.25
3/28/2022,DEBIT,LA GALETTE LIBANAISE QUEBEC QC,Rewards earned: 0.16 ~ Category: Restaurant,-7.99
3/27/2022,DEBIT,MAXI #8676 QUEBEC QC,Rewards earned: 1.70 ~ Category: Groceries,-84.95
3/27/2022,DEBIT,DOLLARAMA # 192 QUEBEC QC,Rewards earned: 0.01 ~ Category: Other,-2.3
3/27/2022,DEBIT,MARCHE LABEL TERRE QUEBEC QC,Rewards earned: 0.49 ~ Category: Groceries,-24.48
3/26/2022,DEBIT,CAFE PEKOE QUEBEC QC,Rewards earned: 0.03 ~ Category: Other,-5.75
3/23/2022,DEBIT,LA GALETTE LIBANAISE QUEBEC QC,Rewards earned: 0.16 ~ Category: Restaurant,-7.99
3/22/2022,DEBIT,KRWN - ST ROCH ST-ROCH QC,Rewards earned: 0.17 ~ Category: Other,-34.34
3/21/2022,DEBIT,IGA #8234 QUEBEC QC,Rewards earned: 0.09 ~ Category: Groceries,-4.49
3/19/2022,DEBIT,CHOCOLATO CAPITALE QUEBEC QC,Rewards earned: 0.05 ~ Category: Other,-10.35
3/17/2022,DEBIT,DELICES TANDOORI QUEBEC QC,Rewards earned: 1.06 ~ Category: Restaurant,-52.78
3/16/2022,DEBIT,BENNY & CO. LEVIS LEVIS QC,Rewards earned: 0.27 ~ Category: Restaurant,-13.68
3/15/2022,DEBIT,LA GALETTE LIBANAISE QUEBEC QC,Rewards earned: 0.16 ~ Category: Restaurant,-7.99
3/13/2022,DEBIT,MAXI #8676 QUEBEC QC,Rewards earned: 1.22 ~ Category: Groceries,-61.07
3/13/2022,DEBIT,LA DIPERIE QUEBEC QC,Rewards earned: 0.31 ~ Category: Restaurant,-15.53
3/13/2022,DEBIT,MARCHE LABEL TERRE QUEBEC QC,Rewards earned: 0.89 ~ Category: Groceries,-44.68
3/11/2022,DEBIT,IGA #8234 QUEBEC QC,Rewards earned: 0.01 ~ Category: Groceries,-0.33
3/11/2022,DEBIT,IGA #8234 QUEBEC QC,Rewards earned: 0.23 ~ Category: Groceries,-11.48
3/9/2022,DEBIT,LA GALETTE LIBANAISE QUEBEC QC,Rewards earned: 0.16 ~ Category: Restaurant,-7.99
3/7/2022,CREDIT,PAYMENT - THANK YOU,,110.07
3/7/2022,DEBIT,LA GALETTE LIBANAISE QUEBEC QC,Rewards earned: 0.16 ~ Category: Restaurant,-7.99
